lambda_m,neff_FH,neff_SH
1.52e-06,1.731987867730098,1.935779085024835
1.525e-06,1.7306657709273994,1.9350865305861704
1.5300000000000002e-06,1.7293445422383968,1.9343948031043596
1.5350000000000001e-06,1.7280242958933156,1.933703794138392
1.54e-06,1.7267049155638938,1.9330136210009643
1.545e-06,1.7253865160920994,1.9323240541310696
1.5500000000000002e-06,1.7240690685767583,1.9316353318373656
1.5550000000000001e-06,1.7227526531886146,1.9309472245761692
1.56e-06,1.721437205933639,1.9302598550946657
1.565e-06,1.720122823617484,1.9295731064753163
1.57e-06,1.7188094791764217,1.928887101350068
1.5750000000000002e-06,1.7174972508480684,1.9282016102240307
1.5800000000000001e-06,1.7161860923778265,1.9275167527789736
1.585e-06,1.714876048404656,1.9268325332371343
1.59e-06,1.713567177201737,1.9261488374535467
1.5950000000000002e-06,1.712259419062586,1.9254657910481268
