lambda_m,neff_FH,neff_SH
1.52e-06,1.6204532487161487,1.8896413130328489
1.525e-06,1.618944406719785,1.888695574078943
1.5300000000000002e-06,1.6174414299162,1.8877503856305389
1.5350000000000001e-06,1.6159444772450662,1.8868056511248912
1.54e-06,1.6144534327896458,1.8858614846128667
1.545e-06,1.6129684551764905,1.8849176668657317
1.5500000000000002e-06,1.6114894692609742,1.8839744344767853
1.5550000000000001e-06,1.6100166301768708,1.8830315684080767
1.56e-06,1.6085498587431046,1.8820891943497493
1.565e-06,1.6070892721589536,1.8811471980499757
1.57e-06,1.6056348678441532,1.880205704939245
1.5750000000000002e-06,1.6041867221311603,1.879264496470085
1.5800000000000001e-06,1.6027447906882113,1.8783236918450823
1.585e-06,1.601309148577005,1.8773832996942568
1.59e-06,1.599879828002927,1.8764432119967749
1.5950000000000002e-06,1.5984568248557365,1.8755035606349055
