lambda_m,neff_FH,neff_SH
1.52e-06,1.7773255235828536,1.9502027053096225
1.525e-06,1.776200119338226,1.9495970338245243
1.5300000000000002e-06,1.7750749276341369,1.948992382027744
1.5350000000000001e-06,1.773950042377772,1.9483886395560224
1.54e-06,1.7728253408462429,1.94778592412608
1.545e-06,1.7717009173322158,1.94718400490691
1.5500000000000002e-06,1.7705767467731583,1.9465831199622452
1.5550000000000001e-06,1.7694528809924146,1.9459830384519032
1.56e-06,1.768329252146545,1.9453838822941536
1.565e-06,1.7672059418081878,1.9447855344931448
1.57e-06,1.7660829081288578,1.9441881168761457
1.5750000000000002e-06,1.7649602196140834,1.9435913985861968
1.5800000000000001e-06,1.7638378209070489,1.9429954991530356
1.585e-06,1.762715738723908,1.942400422028148
1.59e-06,1.7615940275760604,1.9418060523186167
1.5950000000000002e-06,1.7604726044192591,1.9412125141434315
