lambda_nm,neff
760.0,1.9502027053096223
762.5,1.9495970338245243
765.0,1.9489923820277442
767.5,1.9483886395560226
770.0,1.9477859241260802
772.5,1.94718400490691
775.0,1.9465831199622454
777.5,1.9459830384519032
780.0,1.9453838822941536
782.5,1.9447855344931448
785.0,1.9441881168761457
787.5,1.9435913985861966
790.0,1.9429954991530354
792.5,1.942400422028148
795.0,1.9418060523186171
797.5,1.9412125141434313
