lambda_m,neff_FH,neff_SH
1.52e-06,1.6204532487161487,1.940774701543704
1.525e-06,1.618944406719785,1.940111785137738
1.5300000000000002e-06,1.6174414299162,1.939449756307445
1.5350000000000001e-06,1.615944477245066,1.938788505838112
1.54e-06,1.614453432789648,1.938128151225108
1.545e-06,1.6129684551764922,1.9374684623494856
1.5500000000000002e-06,1.611489469260976,1.9368096774877284
1.5550000000000001e-06,1.6100166301768726,1.936151566527211
1.56e-06,1.6085498587431064,1.93549425192614
1.565e-06,1.6070892721589591,1.9348376166972572
1.57e-06,1.605634867843992,1.9341817831933028
1.5750000000000002e-06,1.6041867221311266,1.9335265213230264
1.5800000000000001e-06,1.6027447906881764,1.9328719507385472
1.585e-06,1.6013091485769717,1.93221807536128
1.59e-06,1.599879828003019,1.9315647807184653
1.5950000000000002e-06,1.5984568248556923,1.9309121918849996
