lambda_m,neff_FH,neff_SH
1.52e-06,1.6204532487161487,1.907814591476904
1.525e-06,1.618944406719785,1.9069642279260228
1.5300000000000002e-06,1.6174414299162,1.906114463285414
1.5350000000000001e-06,1.615944477245066,1.9052651953385704
1.54e-06,1.614453432789648,1.9044165397206243
1.545e-06,1.6129684551764922,1.9035682720648872
1.5500000000000002e-06,1.611489469260976,1.9027206300316877
1.5550000000000001e-06,1.6100166301768726,1.9018733893630464
1.56e-06,1.6085498587431064,1.901026674519048
1.565e-06,1.6070892721589591,1.900180369767963
1.57e-06,1.605634867843992,1.8993345993782556
1.5750000000000002e-06,1.6041867221311266,1.8984891393718195
1.5800000000000001e-06,1.6027447906881764,1.8976441092756344
1.585e-06,1.6013091485769717,1.896799515637717
1.59e-06,1.599879828003019,1.8959552473808696
1.5950000000000002e-06,1.5984568248556923,1.895111433660589
