lambda_m,neff_FH,neff_SH
1.52e-06,1.6204532487161487,1.9477277847536705
1.525e-06,1.618944406719785,1.947106911548512
1.5300000000000002e-06,1.6174414299162,1.9464870210055405
1.5350000000000001e-06,1.615944477245066,1.9458680030214013
1.54e-06,1.614453432789648,1.945249975271876
1.545e-06,1.6129684551764922,1.9446327070673843
1.5500000000000002e-06,1.611489469260976,1.944016436548494
1.5550000000000001e-06,1.6100166301768726,1.9434009330198183
1.56e-06,1.6085498587431064,1.94278631854116
1.565e-06,1.6070892721589591,1.9421724761028067
1.57e-06,1.605634867843992,1.9415595276703128
1.5750000000000002e-06,1.6041867221311266,1.9409472425396836
1.5800000000000001e-06,1.6027447906881764,1.940335740282234
1.585e-06,1.6013091485769717,1.939725024460125
1.59e-06,1.599879828003019,1.9391149802645256
1.5950000000000002e-06,1.5984568248556923,1.9385057320560064
