lambda_m,neff_FH,neff_SH
1.52e-06,1.789903277458192,1.953898874137031
1.525e-06,1.7888420571166432,1.9533161565173895
1.5300000000000002e-06,1.787781012373533,1.952734517235619
1.5350000000000001e-06,1.786720232683098,1.9521538455999448
1.54e-06,1.7856595941951556,1.951574259362662
1.545e-06,1.7845991866822828,1.9509955275467543
1.5500000000000002e-06,1.7835389859164168,1.950417888070016
1.5550000000000001e-06,1.782479037616879,1.949841109942345
1.56e-06,1.781419273222836,1.9492653148703376
1.565e-06,1.7803597708920884,1.9486903859012603
1.57e-06,1.779300485684686,1.94811644465474
1.5750000000000002e-06,1.7782414838577296,1.94754326011434
1.5800000000000001e-06,1.777182708175918,1.9469709517330869
1.585e-06,1.7761241814386286,1.946399522814884
1.59e-06,1.77506595717304,1.9458288583784809
1.5950000000000002e-06,1.774007947472417,1.9452590821949944
